constructor_id,country_name,country_id,constructor_name
0,Verenigde Staten,Not set yet,Haas-Ferrari
1,Oostenrijk,Not set yet,Red Bull Racing-Honda RBPT
2,Verenigd Koninkrijk,Not set yet,Williams-Mercedes
3,Zwitserland,Not set yet,Alfa Romeo-Ferrari
4,Italië,Not set yet,AlphaTauri-Honda RBPT
5,Verenigd Koninkrijk,Not set yet,Aston Martin-Mercedes
6,Verenigd Koninkrijk,Not set yet,McLaren-Mercedes
7,Italië,Not set yet,Ferrari
8,Duitsland,Not set yet,Mercedes
9,Frankrijk,Not set yet,Alpine-Renault
