Driver_id,Driver_name,Driver_date_of_birth,Driver_photo_path
0,Max Verstappen,30 september 1997,media/Max_Verstappen.jpg
1,Sergio Pérez,26 januari 1990,media/Sergio_Pérez.jpg
2,Lewis Hamilton,7 januari 1985,media/Lewis_Hamilton.jpg
3,Fernando Alonso,29 juli 1981,media/Fernando_Alonso.jpg
4,Charles Leclerc,16 oktober 1997,media/Charles_Leclerc.jpg
5,Lando Norris,13 november 1999,media/Lando_Norris.jpg
6,Carlos Sainz jr.,1 september 1994,media/Carlos_Sainz_jr..jpg
7,George Russell,15 februari 1998,media/George_Russell.jpg
8,Oscar Piastri,6 april 2001,media/Oscar_Piastri.jpg
9,Lance Stroll,29 oktober 1998,media/Lance_Stroll.jpg
10,Pierre Gasly,7 februari 1996,media/Pierre_Gasly.jpg
11,Esteban Ocon,17 september 1996,media/Esteban_Ocon.jpg
12,Alexander Albon,23 maart 1996,media/Alexander_Albon.jpg
13,Yuki Tsunoda,11 mei 2000,media/Yuki_Tsunoda.jpg
14,Valtteri Bottas,28 augustus 1989,media/Valtteri_Bottas.jpg
15,Nico Hülkenberg,19 augustus 1987,media/Nico_Hülkenberg.jpg
16,Daniel Ricciardo,1 juli 1989,media/Daniel_Ricciardo.jpg
17,Zhou Guanyu,30 mei 1999,media/Zhou_Guanyu.jpg
18,Kevin Magnussen,5 oktober 1992,media/Kevin_Magnussen.jpg
19,Liam Lawson,11 februari 2002,media/Liam_Lawson.jpg
20,Logan Sargeant,31 december 2000,media/Logan_Sargeant.jpg
21,Nyck de Vries,6 februari 1995,media/Nyck_de_Vries.jpg
