Driver,GP,Status,Fastest_lap,Pole_position
Max Verstappen,BHR,Null,False,True
Max Verstappen,SAU,Null,True,False
Max Verstappen,AUS,Null,False,True
Max Verstappen,AZE,Null,False,False
Max Verstappen,MIA,Null,True,False
Max Verstappen,MON,Null,False,True
Max Verstappen,SPA,Null,True,True
Max Verstappen,CAN,Null,False,True
Max Verstappen,OOS,Null,True,True
Max Verstappen,GBR,Null,True,True
Max Verstappen,HON,Null,True,False
Max Verstappen,BEL,Null,False,False
Max Verstappen,NED,Null,False,True
Max Verstappen,ITA,Null,False,False
Max Verstappen,SIN,Null,False,False
Max Verstappen,JPN,Null,True,True
Max Verstappen,QAT,Null,True,True
Max Verstappen,VST,Null,False,False
Max Verstappen,MXS,Null,False,False
Max Verstappen,SAP,Null,False,True
Max Verstappen,LSV,Null,False,False
Max Verstappen,ABU,Null,True,True
Sergio Pérez,BHR,Null,False,False
Sergio Pérez,SAU,Null,False,True
Sergio Pérez,AUS,Null,True,False
Sergio Pérez,AZE,Null,False,False
Sergio Pérez,MIA,Null,False,True
Sergio Pérez,MON,Null,False,False
Sergio Pérez,SPA,Null,False,False
Sergio Pérez,CAN,Null,True,False
Sergio Pérez,OOS,Null,False,False
Sergio Pérez,GBR,Null,False,False
Sergio Pérez,HON,Null,False,False
Sergio Pérez,BEL,Null,False,False
Sergio Pérez,NED,Null,False,False
Sergio Pérez,ITA,Null,False,False
Sergio Pérez,SIN,Null,False,False
Sergio Pérez,JPN,DNF,False,False
Sergio Pérez,QAT,Null,False,False
Sergio Pérez,VST,Null,False,False
Sergio Pérez,MXS,DNF,False,False
Sergio Pérez,SAP,Null,False,False
Sergio Pérez,LSV,Null,False,False
Sergio Pérez,ABU,Null,False,False
Lewis Hamilton,BHR,Null,False,False
Lewis Hamilton,SAU,Null,False,False
Lewis Hamilton,AUS,Null,False,False
Lewis Hamilton,AZE,Null,False,False
Lewis Hamilton,MIA,Null,False,False
Lewis Hamilton,MON,Null,True,False
Lewis Hamilton,SPA,Null,False,False
Lewis Hamilton,CAN,Null,False,False
Lewis Hamilton,OOS,Null,False,False
Lewis Hamilton,GBR,Null,False,False
Lewis Hamilton,HON,Null,False,True
Lewis Hamilton,BEL,Null,True,False
Lewis Hamilton,NED,Null,False,False
Lewis Hamilton,ITA,Null,False,False
Lewis Hamilton,SIN,Null,True,False
Lewis Hamilton,JPN,Null,False,False
Lewis Hamilton,QAT,DNF,False,False
Lewis Hamilton,VST,DSQ,False,False
Lewis Hamilton,MXS,Null,True,False
Lewis Hamilton,SAP,Null,False,False
Lewis Hamilton,LSV,Null,False,False
Lewis Hamilton,ABU,Null,False,False
Fernando Alonso,BHR,Null,False,False
Fernando Alonso,SAU,Null,False,False
Fernando Alonso,AUS,Null,False,False
Fernando Alonso,AZE,Null,False,False
Fernando Alonso,MIA,Null,False,False
Fernando Alonso,MON,Null,False,False
Fernando Alonso,SPA,Null,False,False
Fernando Alonso,CAN,Null,False,False
Fernando Alonso,OOS,Null,False,False
Fernando Alonso,GBR,Null,False,False
Fernando Alonso,HON,Null,False,False
Fernando Alonso,BEL,Null,False,False
Fernando Alonso,NED,Null,True,False
Fernando Alonso,ITA,Null,False,False
Fernando Alonso,SIN,Null,False,False
Fernando Alonso,JPN,Null,False,False
Fernando Alonso,QAT,Null,False,False
Fernando Alonso,VST,DNF,False,False
Fernando Alonso,MXS,DNF,False,False
Fernando Alonso,SAP,Null,False,False
Fernando Alonso,LSV,Null,False,False
Fernando Alonso,ABU,Null,False,False
Charles Leclerc,BHR,DNF,False,False
Charles Leclerc,SAU,Null,False,False
Charles Leclerc,AUS,DNF,False,False
Charles Leclerc,AZE,Null,False,True
Charles Leclerc,MIA,Null,False,False
Charles Leclerc,MON,Null,False,False
Charles Leclerc,SPA,Null,False,False
Charles Leclerc,CAN,Null,False,False
Charles Leclerc,OOS,Null,False,False
Charles Leclerc,GBR,Null,False,False
Charles Leclerc,HON,Null,False,False
Charles Leclerc,BEL,Null,False,True
Charles Leclerc,NED,DNF,False,False
Charles Leclerc,ITA,Null,False,False
Charles Leclerc,SIN,Null,False,False
Charles Leclerc,JPN,Null,False,False
Charles Leclerc,QAT,Null,False,False
Charles Leclerc,VST,DSQ,False,True
Charles Leclerc,MXS,Null,False,True
Charles Leclerc,SAP,DNS,False,False
Charles Leclerc,LSV,Null,False,True
Charles Leclerc,ABU,Null,False,False
Lando Norris,BHR,Null,False,False
Lando Norris,SAU,Null,False,False
Lando Norris,AUS,Null,False,False
Lando Norris,AZE,Null,False,False
Lando Norris,MIA,Null,False,False
Lando Norris,MON,Null,False,False
Lando Norris,SPA,Null,False,False
Lando Norris,CAN,Null,False,False
Lando Norris,OOS,Null,False,False
Lando Norris,GBR,Null,False,False
Lando Norris,HON,Null,False,False
Lando Norris,BEL,Null,False,False
Lando Norris,NED,Null,False,False
Lando Norris,ITA,Null,False,False
Lando Norris,SIN,Null,False,False
Lando Norris,JPN,Null,False,False
Lando Norris,QAT,Null,False,False
Lando Norris,VST,Null,False,False
Lando Norris,MXS,Null,False,False
Lando Norris,SAP,Null,True,False
Lando Norris,LSV,DNF,False,False
Lando Norris,ABU,Null,False,False
Carlos Sainz jr.,BHR,Null,False,False
Carlos Sainz jr.,SAU,Null,False,False
Carlos Sainz jr.,AUS,Null,False,False
Carlos Sainz jr.,AZE,Null,False,False
Carlos Sainz jr.,MIA,Null,False,False
Carlos Sainz jr.,MON,Null,False,False
Carlos Sainz jr.,SPA,Null,False,False
Carlos Sainz jr.,CAN,Null,False,False
Carlos Sainz jr.,OOS,Null,False,False
Carlos Sainz jr.,GBR,Null,False,False
Carlos Sainz jr.,HON,Null,False,False
Carlos Sainz jr.,BEL,DNF,False,False
Carlos Sainz jr.,NED,Null,False,False
Carlos Sainz jr.,ITA,Null,False,True
Carlos Sainz jr.,SIN,Null,False,True
Carlos Sainz jr.,JPN,Null,False,False
Carlos Sainz jr.,QAT,DNS,False,False
Carlos Sainz jr.,VST,Null,False,False
Carlos Sainz jr.,MXS,Null,False,False
Carlos Sainz jr.,SAP,Null,False,False
Carlos Sainz jr.,LSV,Null,False,False
Carlos Sainz jr.,ABU,Null,False,False
George Russell,BHR,Null,False,False
George Russell,SAU,Null,False,False
George Russell,AUS,DNF,False,False
George Russell,AZE,Null,True,False
George Russell,MIA,Null,False,False
George Russell,MON,Null,False,False
George Russell,SPA,Null,False,False
George Russell,CAN,DNF,False,False
George Russell,OOS,Null,False,False
George Russell,GBR,Null,False,False
George Russell,HON,Null,False,False
George Russell,BEL,Null,False,False
George Russell,NED,Null,False,False
George Russell,ITA,Null,False,False
George Russell,SIN,Null,False,False
George Russell,JPN,Null,False,False
George Russell,QAT,Null,False,False
George Russell,VST,Null,False,False
George Russell,MXS,Null,False,False
George Russell,SAP,DNF,False,False
George Russell,LSV,Null,False,False
George Russell,ABU,Null,False,False
